base_risk,max_positions,max_new,exposure_mult,vol_scale,cagr,max_dd,final
0.025,10,2,1.0,True,16.303092453059055,23.466411768396554,359978.5292934959
0.025,10,2,1.0,False,18.62473474589028,22.997267010842677,431584.04335387377
0.025,10,2,1.1,True,16.63512617858356,23.94764945630172,369522.25210621016
0.025,10,2,1.1,False,18.345020408955826,25.505913499494426,422332.8930680067
0.025,10,2,1.2,True,14.42809509116576,35.493152440753946,310090.73147098033
0.025,10,2,1.2,False,16.586698743238372,30.038321546737617,368116.397147878
0.025,10,3,0.9,True,19.481984067740775,21.62282475921878,461071.57130247896
0.025,10,3,0.9,False,20.823876540140308,22.224669028166925,510843.1058949765
0.025,10,3,1.0,True,17.687189669772273,22.698545981181372,401268.85418895993
0.025,10,3,1.0,False,19.83442522662202,23.384146362929428,473706.46517210826
0.025,10,3,1.1,True,18.03920228986522,21.709105921946495,412420.96631209075
0.025,10,3,1.1,False,19.27985005993216,25.21780141213275,453961.438752193
0.025,10,3,1.2,True,18.058555578621306,25.30358689220166,413042.0291362067
0.025,10,3,1.2,False,19.387586166812333,25.998246498778816,457738.8375067225
0.0275,6,1,0.9,True,14.949094049996114,25.649450095937944,323293.55564048584
0.0275,6,1,0.9,False,16.56709165206958,24.832961558754302,367548.55743486574
0.0275,6,1,1.0,True,16.10009461898203,22.445706735542682,354252.4951503808
0.0275,6,1,1.0,False,17.12876911520187,22.860555410249066,384128.09935160005
0.0275,6,1,1.1,True,14.330619247650711,25.51622140912288,307674.62643889757
0.0275,6,1,1.1,False,15.457718933915743,27.754191977255843,336663.64877364296
0.0275,6,1,1.2,True,14.911924899541873,25.986918965176624,322335.314029019
0.0275,6,1,1.2,False,16.491275011100193,30.548642215930055,365360.1733249024
0.0275,6,2,0.9,True,15.573453724368447,20.428378454105353,339773.8831072807
0.0275,6,2,0.9,False,16.904758315566216,19.69527710645848,377437.5424058306
0.0275,6,2,1.0,True,15.038823484446384,21.053751500172396,325617.29923838435
0.0275,6,2,1.0,False,16.346698067441046,21.631486232582457,361219.23501341825
0.0275,6,2,1.1,True,14.054943542486198,23.417031732772976,300932.0774103093
0.0275,6,2,1.1,False,14.995556075026517,28.25602384131038,324494.9418897864
0.0275,6,2,1.2,True,10.993928574828281,27.9055577585382,234436.19619496044
0.0275,6,2,1.2,False,12.48619326860949,32.781929601661986,265008.8318296519
0.0275,6,3,0.9,True,16.65359918232121,20.897016486543173,370059.78511543415
0.0275,6,3,0.9,False,18.798787082564484,20.37572963778638,437431.30025905685
0.0275,6,3,1.0,True,16.861145149667145,21.52188682273183,376147.08655462705
0.0275,6,3,1.0,False,18.00488830788245,21.521064024346803,411321.8479506319
0.0275,6,3,1.1,True,16.02046476199661,23.1346449047806,352028.60370102513
0.0275,6,3,1.1,False,17.0407656242078,27.23411104030149,381487.1899961885
0.0275,6,3,1.2,True,15.508681690478166,24.188875255629025,338030.0721340419
0.0275,6,3,1.2,False,15.736502248783847,27.997379816245104,344199.0593554758
0.0275,8,1,0.9,True,14.251619824435991,28.937547109609174,305728.812558947
0.0275,8,1,0.9,False,14.42732815308283,31.173624731972726,310071.65580936853
0.0275,8,1,1.0,True,14.619161977557171,32.45994428372139,314875.7515455702
0.0275,8,1,1.0,False,15.962414806017966,34.77666404428372,350415.24138525006
0.0275,8,1,1.1,True,14.363028805984147,30.222630203735466,308476.0845237279
0.0275,8,1,1.1,False,14.582132456950191,40.68054483049638,313943.28881090885
0.0275,8,1,1.2,True,14.23440537864562,36.68303048973486,305306.2659998833
0.0275,8,1,1.2,False,15.039602683627319,43.15280317592093,325637.5433464461
0.0275,8,2,0.9,True,15.041597847625221,23.386663879160402,325689.3841338246
0.0275,8,2,0.9,False,17.20871123778074,22.650112777602423,386541.2012877648
0.0275,8,2,1.0,True,15.953318659197468,23.47774235730047,350163.0333099585
0.0275,8,2,1.0,False,17.056585730851005,23.107458942677013,381960.74165968783
0.0275,8,2,1.1,True,14.68341989128239,26.214036301445624,316499.72726935
0.0275,8,2,1.1,False,16.010362208317908,27.222363548392025,351747.3521195003
